date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:31:37	382/382	---MCZ	200	added ('OK')	text/xml	etag:W/%2217e-lCeZkeVPtV0gtYXuPfnvl3t9EGY%22	https://www.projectsforhumanity.org/sitemap.xml	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/sitemap.xml	(from https://www.projectsforhumanity.org/)
17:31:38	2962/2962	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Nov%202024%2022:31:38%20GMT	https://www.projectsforhumanity.org/feed.xml	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/feed.a.delayed	(from https://www.projectsforhumanity.org/)
17:31:39	2961/2961	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Nov%202024%2022:31:39%20GMT	https://www.projectsforhumanity.org/decodeURIComponent(e	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/decodeURIComponent(e.b.delayed	(from https://www.projectsforhumanity.org/)
17:31:41	960857/960857	---MCZ	200	added ('OK')	text/html	etag:W/%22d0d1b0eccf72ea63b0b94c059fd068c3%22	https://www.projectsforhumanity.org/booking-calendar/math-tutoring	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/booking-calendar/math-tutoring.html	(from https://www.projectsforhumanity.org/book-online)
17:31:43	961117/961117	---MCZ	200	added ('OK')	text/html	etag:W/%2232629855a8e15af1c532e3aeda875a00%22	https://www.projectsforhumanity.org/booking-calendar/english-tutoring	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/booking-calendar/english-tutoring.html	(from https://www.projectsforhumanity.org/book-online)
17:31:44	960956/960956	---MCZ	200	added ('OK')	text/html	etag:W/%22792bce2770b8c31fdfeb8e672e6c9ebe%22	https://www.projectsforhumanity.org/booking-calendar/history-tutoring	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/booking-calendar/history-tutoring.html	(from https://www.projectsforhumanity.org/book-online)
17:31:46	307634/307634	---M--	200	added ('OK')	application/pdf	etag:%225af3a4846f4115deb22dba87db40f8b2%22	https://www.projectsforhumanity.org/_files/ugd/69f586_197ceee421aa438dbbca90cce4a7c170.pdf	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/_files/ugd/Resume-Ishan%20Khosla.pdf_;%20filename_=UTF-8''Resume-Ishan%20Khosla.pdf	(from https://www.projectsforhumanity.org/blank-page)
17:31:46	2961/2961	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Nov%202024%2022:31:46%20GMT	https://www.projectsforhumanity.org/constants	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/constants.10.delayed	(from https://www.projectsforhumanity.org/online-ordering)
17:31:49	957262/957262	---MCZ	200	added ('OK')	text/html	etag:W/%22eff612398f97c04767a9584d6eb0a2e4%22	https://www.projectsforhumanity.org/booking-calendar/c	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/booking-calendar/c.html	(from https://www.projectsforhumanity.org/booking-calendar/math-tutoring)
17:31:50	957261/957261	---MCZ	200	added ('OK')	text/html	etag:W/%228d3d9f6d02285e4a8896c01066725b51%22	https://www.projectsforhumanity.org/booking-calendar/t	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/booking-calendar/t.html	(from https://www.projectsforhumanity.org/booking-calendar/math-tutoring)
17:31:51	957325/957325	---MCZ	200	added ('OK')	text/html	etag:W/%2265900f67044a199102c7d7245e6bb3c8%22	https://www.projectsforhumanity.org/booking-calendar/robots.txt	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/booking-calendar/robots.html	(from https://www.projectsforhumanity.org/booking-calendar/math-tutoring)
17:31:52	2962/2962	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Nov%202024%2022:31:51%20GMT	https://www.projectsforhumanity.org/booking-calendar/sitemap.xml	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/booking-calendar/sitemap.14.delayed	(from https://www.projectsforhumanity.org/booking-calendar/math-tutoring)
17:31:52	2961/2961	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Nov%202024%2022:31:52%20GMT	https://www.projectsforhumanity.org/booking-calendar/feed.xml	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/booking-calendar/feed.15.delayed	(from https://www.projectsforhumanity.org/booking-calendar/math-tutoring)
17:31:54	957334/957334	---MCZ	200	added ('OK')	text/html	etag:W/%229b85c446b0cd9aa51b802576f98950d3%22	https://www.projectsforhumanity.org/booking-calendar/decodeURIComponent(e	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/booking-calendar/decodeURIComponent(e.html	(from https://www.projectsforhumanity.org/booking-calendar/math-tutoring)
